datetime,temp(F),feels_like(F),dew_point(F),wind_speed(mph),wind_dir(deg),wind_dir(dir),uv_index,precip(inch),precip_hourly(inch),pressure(inch),humidity(%),overall
2017-01-01 00:00:00,43,40,34,5,280,W,0,0,0,30.15,70,Fair
2017-01-01 00:30:00,43,39,34,6,290,WNW,0,0,0,30.15,70,Fair
2017-01-01 01:00:00,43,40,34,5,290,WNW,0,0,0,30.15,70,Fair
2017-01-01 01:30:00,43,39,34,7,290,WNW,0,0,0,30.15,70,Fair
2017-01-01 02:00:00,41,37,32,6,280,W,0,0,0,30.15,70,Mostly Cloudy
2017-01-01 02:30:00,43,37,32,9,340,NNW,0,0,0,30.15,66,Mostly Cloudy
2017-01-01 03:00:00,43,38,30,8,360,N,0,0,0,30.15,61,Partly Cloudy
2017-01-01 03:30:00,43,39,32,7,340,NNW,0,0,0,30.15,66,Fair
2017-01-01 04:00:00,45,40,32,8,350,N,0,0,0,30.12,61,Fair
2017-01-01 04:30:00,43,39,30,7,340,NNW,0,0,0,30.12,61,Fair
2017-01-01 05:00:00,43,39,30,6,300,WNW,0,0,0,30.12,61,Partly Cloudy
2017-01-01 05:30:00,41,35,30,10,330,NNW,0,0,0,30.15,65,Partly Cloudy
2017-01-01 06:00:00,41,36,30,7,320,NW,0,0,0,30.15,65,Fair
2017-01-01 06:30:00,39,35,30,6,310,NW,0,0,0,30.15,70,Fair
2017-01-01 07:00:00,39,35,30,6,300,WNW,1,0,0,30.18,70,Fair
2017-01-01 07:30:00,41,37,30,6,290,WNW,1,0,0,30.18,65,Fair
2017-01-01 08:00:00,43,39,30,6,290,WNW,1,0,0,30.18,61,Fair
2017-01-01 08:30:00,43,39,30,7,290,WNW,1,0,0,30.18,61,Fair
2017-01-01 09:00:00,45,42,30,5,310,NW,1,0,0,30.18,57,Fair
2017-01-01 09:30:00,46,44,30,5,360,N,2,0,0,30.18,53,Fair
2017-01-01 10:00:00,50,50,32,6,340,NNW,2,0,0,30.18,50,Fair
2017-01-01 10:30:00,50,50,32,2,None,VAR,2,0,0,30.18,50,Fair
2017-01-01 11:00:00,50,50,34,3,110,ESE,3,0,0,30.18,54,Fair
2017-01-01 11:30:00,50,50,34,6,120,ESE,3,0,0,30.15,54,Fair
2017-01-01 12:00:00,50,50,36,8,130,SE,3,0,0,30.15,58,Fair
2017-01-01 12:30:00,52,52,34,8,130,SE,2,0,0,30.12,50,Fair
2017-01-01 13:00:00,52,52,36,6,120,ESE,2,0,0,30.12,54,Fair
