datetime,temp(F),feels_like(F),dew_point(F),wind_speed(mph),wind_dir(deg),wind_dir(dir),uv_index,precip(inch),precip_hourly(inch),pressure(inch),humidity(%),overall
2019-01-01 00:00:00,41,38,19,5,290,WNW,0,0,0,30.27,42,Fair
2019-01-01 00:30:00,41,36,19,7,310,NW,0,0,0,30.27,42,Partly Cloudy
2019-01-01 01:00:00,39,34,21,8,310,NW,0,0,0,30.27,49,Partly Cloudy
2019-01-01 01:30:00,39,34,23,7,310,NW,0,0,0,30.27,52,Mostly Cloudy
2019-01-01 02:00:00,39,34,23,7,250,WSW,0,0,0,30.27,52,Mostly Cloudy
2019-01-01 02:30:00,39,34,23,8,300,WNW,0,0,0,30.24,52,Mostly Cloudy
2019-01-01 03:00:00,37,33,21,6,300,WNW,0,0,0,30.24,52,Mostly Cloudy
2019-01-01 03:30:00,37,32,21,7,310,NW,0,0,0,30.24,52,Mostly Cloudy
2019-01-01 04:00:00,39,35,21,6,290,WNW,0,0,0,30.21,49,Mostly Cloudy
2019-01-01 04:30:00,39,34,21,7,270,W,0,0,0,30.21,49,Mostly Cloudy
2019-01-01 05:00:00,39,34,21,8,300,WNW,0,0,0,30.21,49,Mostly Cloudy
2019-01-01 05:30:00,37,32,21,7,250,WSW,0,0,0,30.21,52,Mostly Cloudy
2019-01-01 06:00:00,37,32,21,7,280,W,0,0,0,30.24,52,Mostly Cloudy
2019-01-01 06:30:00,37,33,21,6,260,W,0,0,0,30.24,52,Mostly Cloudy
2019-01-01 07:00:00,36,31,21,6,250,WSW,0,0,0,30.24,56,Mostly Cloudy
2019-01-01 07:30:00,36,30,23,7,270,W,0,0,0,30.24,60,Partly Cloudy
2019-01-01 08:00:00,37,31,23,8,310,NW,0,0,0,30.24,56,Partly Cloudy
2019-01-01 08:30:00,39,39,23,3,300,WNW,0,0,0,30.24,52,Fair
2019-01-01 09:00:00,45,41,21,6,310,NW,1,0,0,30.24,39,Fair
2019-01-01 09:30:00,45,39,19,12,320,NW,1,0,0,30.24,37,Fair
2019-01-01 10:00:00,46,41,19,13,340,NNW,1,0,0,30.21,34,Fair
2019-01-01 10:30:00,46,41,18,10,320,NW,2,0,0,30.21,32,Fair
2019-01-01 11:00:00,48,45,19,7,320,NW,2,0,0,30.21,32,Fair
2019-01-01 11:30:00,48,45,25,8,360,N,2,0,0,30.18,40,Fair
2019-01-01 12:00:00,50,50,23,5,270,W,2,0,0,30.15,35,Fair
2019-01-01 12:30:00,50,50,23,7,250,WSW,2,0,0,30.15,35,Fair
2019-01-01 13:00:00,50,50,25,3,330,NNW,2,0,0,30.12,37,Fair
2019-01-01 13:30:00,50,50,27,2,None,VAR,1,0,0,30.12,40,Fair
2019-01-01 14:00:00,50,50,27,13,140,SE,1,0,0,30.12,40,Fair
2019-01-01 14:30:00,50,50,25,9,150,SSE,1,0,0,30.12,37,Fair
