datetime,temp(F),feels_like(F),dew_point(F),wind_speed(mph),wind_dir(deg),wind_dir(dir),uv_index,precip(inch),precip_hourly(inch),pressure(inch),humidity(%),overall
2020-01-01 00:00:00,41,30,18,28,330,NNW,0,0,0,30.03,39,Fair / Windy
2020-01-01 00:21:00,39,28,18,29,330,NNW,0,0,0,30.03,42,Fair / Windy
2020-01-01 00:30:00,39,28,19,26,330,NNW,0,0,0,30.03,45,Fair / Windy
2020-01-01 01:00:00,41,30,21,26,340,NNW,0,0,0,30.03,45,Fair / Windy
2020-01-01 01:05:00,41,30,21,26,350,N,0,0,0,30.03,45,Fair / Windy
2020-01-01 01:30:00,41,30,23,29,340,NNW,0,0,0,30.06,49,Fair / Windy
2020-01-01 02:00:00,41,31,23,24,350,N,0,0,0,30.06,49,Fair / Windy
2020-01-01 02:30:00,41,31,21,23,340,NNW,0,0,0,30.06,45,Mostly Cloudy / Windy
2020-01-01 03:00:00,41,31,21,24,340,NNW,0,0,0,30.06,45,Mostly Cloudy / Windy
2020-01-01 03:25:00,41,31,21,23,340,NNW,0,0,0,30.06,45,Mostly Cloudy / Windy
2020-01-01 03:30:00,41,31,21,23,340,NNW,0,0,0,30.06,45,Mostly Cloudy / Windy
2020-01-01 04:00:00,41,31,21,24,340,NNW,0,0,0,30.06,45,Mostly Cloudy / Windy
2020-01-01 04:16:00,41,31,21,24,330,NNW,0,0,0,30.06,45,Mostly Cloudy / Windy
2020-01-01 04:30:00,41,30,21,26,340,NNW,0,0,0,30.09,45,Mostly Cloudy / Windy
2020-01-01 05:00:00,41,31,19,22,340,NNW,0,0,0,30.09,42,Mostly Cloudy / Windy
2020-01-01 05:30:00,41,32,21,21,330,NNW,0,0,0,30.09,45,Mostly Cloudy / Windy
2020-01-01 06:00:00,41,32,21,20,340,NNW,0,0,0,30.12,45,Mostly Cloudy
2020-01-01 06:30:00,41,31,23,23,350,N,0,0,0,30.12,49,Mostly Cloudy / Windy
2020-01-01 07:00:00,41,33,25,16,350,N,0,0,0,30.12,53,Mostly Cloudy
2020-01-01 07:30:00,41,33,23,15,360,N,0,0,0,30.15,49,Mostly Cloudy
2020-01-01 08:00:00,43,36,23,14,20,NNE,0,0,0,30.15,46,Mostly Cloudy
2020-01-01 08:30:00,41,35,23,9,30,NNE,0,0,0,30.15,49,Mostly Cloudy
2020-01-01 09:00:00,43,38,25,8,30,NNE,0,0,0,30.18,49,Mostly Cloudy
2020-01-01 09:30:00,43,37,25,9,30,NNE,1,0,0,30.18,49,Mostly Cloudy
2020-01-01 10:00:00,45,41,23,7,30,NNE,1,0,0,30.18,43,Mostly Cloudy
2020-01-01 10:30:00,45,41,23,6,40,NE,2,0,0,30.15,43,Fair
2020-01-01 11:00:00,45,41,27,6,40,NE,2,0,0,30.15,49,Fair
2020-01-01 11:30:00,45,41,25,7,40,NE,2,0,0,30.12,46,Fair
2020-01-01 12:00:00,46,44,25,6,50,NE,2,0,0,30.12,43,Fair
2020-01-01 12:30:00,46,44,27,6,60,ENE,2,0,0,30.09,46,Fair
2020-01-01 13:00:00,46,44,25,5,50,NE,2,0,0,30.09,43,Fair
2020-01-01 13:30:00,46,44,27,5,60,ENE,1,0,0,30.09,46,Fair
2020-01-01 14:00:00,48,46,28,5,60,ENE,1,0,0,30.09,46,Fair
2020-01-01 14:30:00,48,48,25,3,80,E,1,0,0,30.09,40,Fair
2020-01-01 15:00:00,48,46,28,5,100,E,0,0,0,30.09,46,Fair
2020-01-01 15:30:00,46,46,27,3,120,ESE,0,0,0,30.06,46,Fair
2020-01-01 16:00:00,46,46,27,3,110,ESE,0,0,0,30.06,46,Fair
2020-01-01 16:30:00,45,45,27,3,130,SE,0,0,0,30.09,49,Fair
2020-01-01 17:00:00,46,46,27,2,None,VAR,0,0,0,30.09,46,Fair
2020-01-01 17:30:00,43,43,27,1,None,VAR,0,0,0,30.09,53,Fair
2020-01-01 18:00:00,48,48,30,2,None,VAR,0,0,0,30.09,50,Fair
2020-01-01 18:30:00,46,44,30,6,210,SSW,0,0,0,30.09,53,Fair
2020-01-01 19:00:00,46,44,32,6,200,SSW,0,0,0,30.09,57,Fair
2020-01-01 19:30:00,48,46,34,5,200,SSW,0,0,0,30.09,57,Fair
2020-01-01 20:00:00,46,46,34,1,None,VAR,0,0,0,30.09,62,Fair
2020-01-01 20:30:00,46,46,36,3,350,N,0,0,0,30.12,66,Fair
2020-01-01 21:00:00,46,46,36,3,330,NNW,0,0,0,30.12,66,Fair
2020-01-01 21:30:00,46,46,34,2,340,NNW,0,0,0,30.12,62,Fair
2020-01-01 22:00:00,46,46,32,2,None,VAR,0,0,0,30.12,57,Fair
2020-01-01 22:30:00,41,41,34,3,290,WNW,0,0,0,30.12,76,Fair
2020-01-01 23:00:00,43,39,34,6,290,WNW,0,0,0,30.09,70,Fair
2020-01-01 23:30:00,43,39,34,7,310,NW,0,0,0,30.12,70,Fair
2020-01-02 00:00:00,43,39,32,6,330,NNW,0,0,0,30.12,66,Fair
2020-01-02 00:30:00,43,40,30,5,300,WNW,0,0,0,30.12,61,Fair
2020-01-02 01:00:00,43,39,30,7,310,NW,0,0,0,30.12,61,Fair
2020-01-02 01:30:00,41,37,32,6,300,WNW,0,0,0,30.12,70,Fair
2020-01-02 02:00:00,41,36,30,8,330,NNW,0,0,0,30.12,65,Fair
2020-01-02 02:30:00,45,38,30,13,360,N,0,0,0,30.12,57,Fair
2020-01-02 03:00:00,45,40,30,9,360,N,0,0,0,30.12,57,Fair
2020-01-02 03:30:00,43,39,30,7,20,NNE,0,0,0,30.12,61,Fair
2020-01-02 04:00:00,45,40,32,9,30,NNE,0,0,0,30.12,61,Fair
2020-01-02 04:30:00,45,39,32,10,20,NNE,0,0,0,30.12,61,Fair
2020-01-02 05:00:00,45,40,32,8,30,NNE,0,0,0,30.12,61,Fair
2020-01-02 05:30:00,43,40,28,5,30,NNE,0,0,0,30.12,57,Fair
2020-01-02 06:00:00,41,37,28,6,30,NNE,0,0,0,30.12,61,Fair
2020-01-02 06:30:00,45,40,32,9,20,NNE,0,0,0,30.15,61,Fair
2020-01-02 07:00:00,43,38,30,8,20,NNE,0,0,0,30.15,61,Fair
2020-01-02 07:30:00,41,36,30,7,30,NNE,0,0,0,30.15,65,Fair
2020-01-02 08:00:00,41,36,30,8,30,NNE,0,0,0,30.15,65,Fair
2020-01-02 08:30:00,45,39,32,10,30,NNE,0,0,0,30.15,61,Fair
2020-01-02 09:00:00,46,41,32,10,20,NNE,1,0,0,30.15,57,Fair
2020-01-02 09:30:00,48,44,32,9,10,N,1,0,0,30.15,54,Fair
2020-01-02 10:00:00,48,44,30,9,20,NNE,1,0,0,30.15,50,Fair
2020-01-02 10:30:00,48,44,30,9,20,NNE,1,0,0,30.15,50,Mostly Cloudy
2020-01-02 11:00:00,48,44,30,9,20,NNE,1,0,0,30.12,50,Mostly Cloudy
2020-01-02 11:30:00,48,44,30,9,20,NNE,1,0,0,30.12,50,Mostly Cloudy
2020-01-02 12:00:00,48,44,30,9,10,N,1,0,0,30.09,50,Mostly Cloudy
2020-01-02 12:30:00,48,45,30,8,10,N,1,0,0,30.09,50,Mostly Cloudy
2020-01-02 13:00:00,50,50,30,7,10,N,1,0,0,30.09,47,Mostly Cloudy
2020-01-02 13:30:00,50,50,32,3,20,NNE,1,0,0,30.09,50,Mostly Cloudy
2020-01-02 14:00:00,50,50,32,5,70,ENE,1,0,0,30.09,50,Partly Cloudy
2020-01-02 14:30:00,50,50,32,6,60,ENE,1,0,0,30.09,50,Fair
2020-01-02 15:00:00,50,50,34,7,70,ENE,0,0,0,30.09,54,Fair
2020-01-02 15:30:00,50,50,32,7,80,E,0,0,0,30.09,50,Fair
2020-01-02 16:00:00,50,50,34,6,90,E,0,0,0,30.09,54,Fair
2020-01-02 16:30:00,50,50,34,3,90,E,0,0,0,30.09,54,Fair
2020-01-02 17:00:00,50,50,34,5,90,E,0,0,0,30.06,54,Fair
2020-01-02 17:30:00,50,50,32,5,110,ESE,0,0,0,30.06,50,Fair
2020-01-02 18:00:00,50,50,32,5,110,ESE,0,0,0,30.06,50,Mostly Cloudy
2020-01-02 18:30:00,48,46,34,5,130,SE,0,0,0,30.06,57,Mostly Cloudy
2020-01-02 19:00:00,46,44,34,6,160,SSE,0,0,0,30.09,62,Mostly Cloudy
2020-01-02 19:30:00,46,46,32,2,130,SE,0,0,0,30.09,57,Partly Cloudy
2020-01-02 20:00:00,48,48,34,2,140,SE,0,0,0,30.09,57,Partly Cloudy
2020-01-02 20:30:00,48,48,32,2,120,ESE,0,0,0,30.09,54,Partly Cloudy
2020-01-02 21:00:00,50,50,34,0,None,CALM,0,0,0,30.06,54,Fair
2020-01-02 21:30:00,45,42,34,5,None,VAR,0,0,0,30.06,66,Fair
